name, phase, lat, long, voltage, load, gen, kind, critical, type, backup_dg, wind_cc, water_cc, seismic_cc, fire_cc, bias,CB,LoadName,PathRedundacy,RepairTime,
N200, ABCN,60.613022,-145.679772,277,0,0,PV,1, res,0,3,3,4,8,1,CB17, ,0,10,  
N201, ABCN,60.61306,-145.679772,277,0,625,PV,1, res,0,3,3,4,8,1,CB9, ,0,10,
N202, ABCN,60.6131,-145.679772,277,0,625,PV,1, res,0,3,3,4,8,1,CB8, ,0,10,
N203, ABCN,60.61314,-145.679772,277,0,0,PV,1, res,0,3,3,4,8,1,CB7, ,0,10,
N204, ABCN,60.61318,-145.679772,7200,0,0, PQ,1, res,0,3,3,4,8,1, , ,2,5,
N205, ABCN,60.61322,-145.679772,7200,31,0, PQ,3, wlf,0,7,6,9,9,1,CB26,A_01,1,5,
N300, ABCN,60.556128,-145.754464,7200,0,0, PQ,1, wlf,0,7,6,9,9,1,CB24, ,2,5,
N303, ABCN,60.556168,-145.754464,7200,0,3250,PV,1, wlf,0,7,6,9,9,1,CB13, ,0,2, 
N304, ABCN,60.556208,-145.754464,7200,0,3004,PV,1, wlf,0,7,6,9,9,1,CB14, ,0,2,
N305, ABCN,60.556248,-145.754464,7200,0,1406,PV,1, wlf,0,7,6,9,9,1,CB22, ,0,2,
N306, ABCN,60.556288,-145.754464,7200,0,0,PV,1, wlf,0,7,6,9,9,1,CB23, ,0,2,
N307, ABCN,60.556328,-145.754464,7200,0,5000,PV,1, wlf,0,7,6,9,9,1,CB15, ,0,2,
N308, ABCN,60.556368,-145.754464,7200,0,0,PV,1, wlf,0,7,6,9,9,1,CB16, ,0,2,
N315, ABCN,60.556408,-145.754464,277,0,0,PV,1, wlf,0,7,6,9,9,1,CB33, ,0,2,
N507, ABCN,60.55604,-145.7538,7200,234,0, PQ,1, wlf,0,7,6,9,9,1,CB28,A_02_04,2,5,
N514, ABCN,60.55361,-145.757198,7200,1111,0, PQ,1, res,0,3,3,4,8,1,CB29,A_05_06,2,5,
N518, ABCN,60.55118,-145.760596,7200,355,0, PQ,3, res,0,3,3,4,8,1,CB30,A_07_12,2,5,
