name,kind,from_node,to_node,status,r,x,b,fire_risk,wind_risk,water_risk,rating,hardening,repair_cost,distance
N200_to_N201,Short,N200,N201,1,5.06E-06,3.38E-06,0,2,1,3,1,1,10,0.004225407
N200_to_N202,Short,N200,N202,1,1.04E-05,6.93E-06,0,2,1,3,1,1,10,0.008673204
N200_to_N203,Short,N200,N203,1,1.57E-05,1.05E-05,0,2,1,3,1,1,10,0.013121001
N200_to_N204,XFMR,N200,N204,1,2.11E-05,1.40E-05,0,2,1,3,1,1,10,0.017568798
N204_to_N205,UG_line,N204,N205,1,5.33E-06,3.55E-06,0,2,1,3,1,1,10,0.004447797
N205_to_N300,UG_line,N205,N300,1,0.009044735,0.006029823,0,2,1,3,1,1,10,7.5458766
N303_to_N300,XFMR,N300,N303,1,5.33E-06,3.55E-06,0,2,1,3,1,1,2,0.004447797
N304_to_N300,Short,N300,N304,1,1.07E-05,7.11E-06,0,2,1,3,1,1,2,0.008895594
N305_to_N315,Short,N315,N305,1,2.13E-05,1.42E-05,0,2,1,3,1,1,2,0.017791188
N306_to_N315,Short,N315,N306,1,1.60E-05,1.07E-05,0,2,1,3,1,1,2,0.013343391
N300_to_N315,XFMR,N315,N300,1,3.73E-05,2.49E-05,0,2,1,3,1,1,2,0.031134579
N307_to_N300,Short,N307,N300,1,2.67E-05,1.78E-05,0,2,1,3,1,1,2,0.022238985
N308_to_N300,XFMR,N308,N300,1,3.20E-05,2.13E-05,0,2,1,3,1,1,2,0.026686782
N400_to_N300,UG_line,N300,N400,1,0.00226116,0.00150744,0,2,1,3,1,1,2,1.88644956
N507_to_N300,UG_line,N300,N507,1,4.51E-05,3.00E-05,0,2,1,3,1,1,5,0.037590329
N507_to_N514,UG_line,N507,N514,1,0.000393017,0.000262011,0,2,1,3,1,1,5,0.327887768
N518_to_N514,UG_line,N518,N514,1,0.000393026,0.000262018,0,2,1,3,1,1,5,0.327895673
N518_to_N526,UG_line,N518,N526,1,0.000393036,0.000262024,0,2,1,3,1,1,5,0.327903578
N627_to_N620,UG_line,N627,N620,1,0.000206399,0.000137599,0,2,1,3,1,1,5,0.17219517
N614_to_N620,UG_line,N614,N620,1,0.000206402,0.000137601,0,2,1,3,1,1,5,0.172198046
N614_to_N612,UG_line,N614,N612,1,0.000359825,0.000239883,0,2,1,3,1,1,5,0.300196334
N608_to_N612,UG_line,N608,N612,1,0.000359821,0.000239881,0,2,1,3,1,1,5,0.300192831
N608_to_N606,UG_line,N608,N606,1,0.000180955,0.000120636,0,2,1,3,1,1,5,0.150967624
N400_to_N606,UG_line,N606,N400,1,0.000180955,0.000120637,0,2,1,3,1,1,5,0.150967741
N731_to_N720,UG_line,N731,N720,1,0.000119499,7.97E-05,0,2,1,3,1,1,5,0.099695806
N720_to_N722,Short,N720,N722,1,2.67E-06,1.78E-06,0,2,1,3,1,1,5,0.002223899
N707_to_N722,Short,N707,N722,1,0.00049804,0.000332027,0,2,1,3,1,1,5,0.415507166
N707_to_N701,UG_line,N707,N701,1,0.001375973,0.000917316,0,2,1,3,1,1,5,1.147952511
N701_to_N400,Short,N707,N400,1,0.001377644,0.00091843,0,2,1,3,1,1,5,1.149346472
N850_to_N838,UG_line,N850,N838,1,0.000699193,0.000466129,0,2,1,3,1,1,5,0.583325565
N838_to_N811,UG_line,N838,N811,1,0.000400126,0.00026675,0,2,1,3,1,1,5,0.333818388
N811_to_N808,Short,N811,N808,1,2.67E-06,1.78E-06,0,2,1,3,1,1,5,0.002223899
