name,kind,from_node,to_node,status,r,x,b,fire_risk,wind_risk,water_risk,rating,hardening,repair_cost,distance
N200_to_N201,Short,N200,N201,1,5.064711323996592e-06,3.3764742159977294e-06,0,2.0,1.0,3.0,1.0,1.0,10.0,0.004225407212886329
N200_to_N202,Short,N200,N202,1,1.0395986402136962e-05,6.930657601424643e-06,0,2.0,1.0,3.0,1.0,1.0,10.0,0.008673204279290385
N200_to_N203,Short,N200,N203,1,1.5727261479330305e-05,1.0484840986220204e-05,0,2.0,1.0,3.0,1.0,1.0,10.0,0.01312100134490435
N200_to_N204,XFMR,N200,N204,1,2.1058536557470675e-05,1.4039024371647118e-05,0,2.0,1.0,3.0,1.0,1.0,10.0,0.017568798411308404
N204_to_N205,UG_line,N204,N205,1,5.331275076246319e-06,3.5541833841642127e-06,0,2.0,1.0,3.0,1.0,1.0,10.0,0.004447797064823879
N205_to_N300,UG_line,N205,N300,1,0.009044734564323193,0.006029823042882129,0,2.0,1.0,3.0,1.0,1.0,10.0,7.5458766002433695
N303_to_N300,XFMR,N300,N303,1,5.331275078140367e-06,3.5541833854269118e-06,0,2.0,1.0,3.0,1.0,1.0,2.0,0.004447797066404053
N304_to_N300,Short,N300,N304,1,1.0662550154386685e-05,7.108366769591124e-06,0,2.0,1.0,3.0,1.0,1.0,2.0,0.008895594131227931
N305_to_N315,Short,N315,N305,1,2.1325100309720396e-05,1.42167335398136e-05,0,2.0,1.0,3.0,1.0,1.0,2.0,0.017791188263245952
N306_to_N315,Short,N315,N306,1,1.5993825231580032e-05,1.066255015438669e-05,0,2.0,1.0,3.0,1.0,1.0,2.0,0.0133433911968419
N300_to_N315,XFMR,N315,N300,1,3.7318925541300424e-05,2.4879283694200286e-05,0,2.0,1.0,3.0,1.0,1.0,2.0,0.03113457946008785
N307_to_N300,Short,N307,N300,1,2.6656375386913743e-05,1.7770916924609164e-05,0,2.0,1.0,3.0,1.0,1.0,2.0,0.02223898532885992
N308_to_N300,XFMR,N308,N300,1,3.1987650465054104e-05,2.132510031003607e-05,0,2.0,1.0,3.0,1.0,1.0,2.0,0.02668678239526397
N400_to_N300,UG_line,N300,N400,1,0.002261160159702047,0.0015074401064680315,0,2.0,1.0,3.0,1.0,1.0,2.0,1.8864495599241502
N507_to_N300,UG_line,N300,N507,1,4.5056997682632605e-05,3.0037998455088408e-05,0,2.0,1.0,3.0,1.0,1.0,5.0,0.037590328613036364
N507_to_N514,UG_line,N507,N514,1,0.0003930170056110103,0.00026201133707400687,0,2.0,1.0,3.0,1.0,1.0,5.0,0.3278877677445426
N518_to_N514,UG_line,N518,N514,1,0.0003930264811137453,0.00026201765407583025,0,2.0,1.0,3.0,1.0,1.0,5.0,0.3278956730041005
N518_to_N526,UG_line,N518,N526,1,0.00039303595687347983,0.0002620239712489866,0,2.0,1.0,3.0,1.0,1.0,5.0,0.32790357847806906
N627_to_N620,UG_line,N627,N620,1,0.00020639876398945874,0.00013759917599297252,0,2.0,1.0,3.0,1.0,1.0,5.0,0.1721951697345088
N614_to_N620,UG_line,N614,N620,1,0.00020640221172359304,0.0001376014744823954,0,2.0,1.0,3.0,1.0,1.0,5.0,0.17219804612365464
N614_to_N612,UG_line,N614,N612,1,0.00035982514756898517,0.00023988343171265681,0,2.0,1.0,3.0,1.0,1.0,5.0,0.30019633433246007
N608_to_N612,UG_line,N608,N612,1,0.0003598209484422244,0.00023988063229481632,0,2.0,1.0,3.0,1.0,1.0,5.0,0.30019283106852895
N608_to_N606,UG_line,N608,N606,1,0.000180954733299847,0.00012063648886656468,0,2.0,1.0,3.0,1.0,1.0,5.0,0.15096762409110798
N400_to_N606,UG_line,N606,N400,1,0.00018095487317793235,0.00012063658211862158,0,2.0,1.0,3.0,1.0,1.0,5.0,0.15096774078914524
N731_to_N720,UG_line,N731,N720,1,0.00011949865439037312,7.966576959358209e-05,0,2.0,1.0,3.0,1.0,1.0,5.0,0.09969580572123302
N720_to_N722,Short,N720,N722,1,2.6656375404907207e-06,1.7770916936604809e-06,0,2.0,1.0,3.0,1.0,1.0,5.0,0.002223898534387158
N707_to_N722,Short,N707,N722,1,0.0004980404827558329,0.00033202698850388863,0,2.0,1.0,3.0,1.0,1.0,5.0,0.4155071658625693
N707_to_N701,UG_line,N707,N701,1,0.001375973436438523,0.0009173156242923488,0,2.0,1.0,3.0,1.0,1.0,5.0,1.1479525112360056
